Apraksts,Cena,Istabas,Stāvs,Iela,Saite
Īrei tiek piedāvāts ērts un mājīgs divu ..,400 €/mēn.,Ist.: 2,Stāvs: 2/6,Ģertrūdes 113,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajlbp.html
Izīrē daļēji mēbelētu dzīvoklī Rīgas cen..,350 €/mēn.,Ist.: 2,Stāvs: 2/5,Valdemāra 103,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aeoel.html
Tiek izīrēts mēbelēts 1 -istabu kompakts..,260 €/mēn.,Ist.: 1,Stāvs: 3/6,Lāčplēša 98,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/abhpg.html
Сдаю квартиру-студию со всеми удобствами..,250 €/mēn.,Ist.: 1,Stāvs: 3/9,Klusā 18,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dgcoj.html
Izīrēju jauku dzīvokli Rīgas centrā. Sil..,300 €/mēn.,Ist.: 2,Stāvs: 2/3,Bruņinieku 73,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afjnn.html
Gaišs un kluss dzīvoklis jaunajā Bonavas..,600 €/mēn.,Ist.: 2,Stāvs: 3/5,Sermuliņu 16,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agchx.html
Silts 2-istabu dzīvoklis ar savu autonom..,360 €/mēn.,Ist.: 2,Stāvs: 2/2,Cēsu 41/1,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahlcx.html
Tiek izīrēta moderna un jauka 1-istaba 6..,250 €/dienā,Ist.: 1,Stāvs: 2/5,Čaka 114,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bpjlm.html
"Silts, kluss Studio tipa dzīvoklis, 30 m..",350 €/mēn.,Ist.: 1,Stāvs: 2/6,Ganību d. 15,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afncd.html
"Pagalma ēka, renovēta māja, labiekārtots..",260 €/mēn.,Ist.: 1,Stāvs: 3/3,Matīsa 80,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bbfbl.html
"Pagalma māja, renovēta māja, vieta autom..",270 €/mēn.,Ist.: 2,Stāvs: 2/5,Sadovņikova 37,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/flonc.html
"Сдается однокомнатная квартира, утепленн..",270 €/mēn.,Ist.: 1,Stāvs: 2/2,M. Krasta 1,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cegld.html
"Izīrē vienistabas dzīvokli pēc remonta, ..",390 €/mēn.,Ist.: 1,Stāvs: 2/2,Tērbatas 68,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/apmjf.html
"Предлагается квартира, в самом центре. Т..",400 €/mēn.,Ist.: 2,Stāvs: 3/5,Blaumaņa 14,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aeidj.html
"Сдаем 2-комн. отремонтированную, меблиро..",550 €/mēn.,Ist.: 2,Stāvs: 2/5,Tērbatas 59/61,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aioeb.html
Tiek izīrēts mēbelēts 1 -istabu dzīvokli..,280 €/mēn.,Ist.: 1,Stāvs: 2/6,Lāčplēša 98,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/exone.html
Aicinām īrēt mēbelētu divu istabu dzīvok..,450 €/mēn.,Ist.: 2,Stāvs: 2/6,Brīvības 148,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/apppg.html
2-room apartment with parking space for ..,590 €/mēn.,Ist.: 2,Stāvs: 2/5,Valdemāra 11,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fxndh.html
"Pieejams dzīvošanai no 3.01.2024, bet ap..",490 €/mēn.,Ist.: 1,Stāvs: 2/5,Miera 103,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/exfjl.html
"Сдаем просторную, теплую 1-комнатную ква..",300 €/mēn.,Ist.: 1,Stāvs: 2/9,Klusā 20,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdgoj.html
